text,date,location,polarity,subjectivity,classification
"Anyone of any age (approved fo…""",Mon Jun 28 10:02:04 +0000 2021,She/They,0.0,0.0,Neutral
Plenty of AstraZeneca vaccine around &amp; taking the 2nd shot protects you 92% (vs 70% after 1 dose) from being hospitalize…,Mon Jun 28 10:02:06 +0000 2021,"Bali, Indonesia",0.0,0.0,Neutral
"With shifting government messaging and a lot of misinformation about efficacy, some people are cancelling or delaying t…",Mon Jun 28 10:02:11 +0000 2021,Australia,0.0,0.0,Neutral
Breaking National cabinet has agreed on an indemnity scheme for GPs to give the AstraZeneca vaccine to Australians under the…,Mon Jun 28 10:02:11 +0000 2021,"Newcastle, Australia",0.0,0.0,Neutral
"Last week we administered our highest level of vaccinations to date at almost 350,000. In 4 of the past 7 days we admin…",Mon Jun 28 10:02:14 +0000 2021,Stepaside,-0.125,0.15833333333333333,Negative
Good announcement by Morrison government will create an indemnity scheme so GPs can give AstraZeneca vaccine to people u…,Mon Jun 28 10:02:15 +0000 2021,Australia,0.7,0.6000000000000001,Positive
This is the yarn that seemed to get buried in everything the PM said  because he has difficulty getting to the main poin…,Mon Jun 28 10:02:17 +0000 2021,"Melbourne, Victoria",0.033333333333333326,0.26666666666666666,Positive
“Over 70s… AstraZeneca is for that group in particular.” - Morrison,,,,,
I don’t think Oxford University, AstraZeneca,"…""",Mon Jun 28 10:02:17 +0000 2021,The LAN Down Under,0.16666666666666666
Just 0.8% of U.S. COVID19 deaths are fully vaccinated people. ,,,,,
"BUT nearly a third of deaths now…""",Mon Jun 28 10:02:18 +0000 2021,Vagabond,0.0,0.0,Neutral
The messaging and lack of consistency on use of AstraZeneca vaccine is a complete mess. No wonder there is so much hesitancy.,Mon Jun 28 10:02:19 +0000 2021,Melbourne,0.04166666666666668,0.2583333333333333,Positive
Commonwealth no fault indemnity scheme for GP’s across the country to administer vaccines. ,,,,,
"Anyone of any age (approved fo…""",Mon Jun 28 10:02:24 +0000 2021,"Unterfranken, Deutschland",0.0,0.0,Neutral
BREAKING No fault indemnity scheme for GPs so under 60s can discuss getting AstraZeneca with their doctors.,Mon Jun 28 10:02:24 +0000 2021,Unceded land,0.0,0.0,Neutral
ScoMo but have read my earlier tweet,Mon Jun 28 10:02:25 +0000 2021,"West Midlands, England",0.0,0.5,Neutral
'FASCINATING WAR TECHNIQUES  MAHBHARATA,,,,,
-What is Rathi &amp; a MAHARATHI? (Mathematically),,,,,
"-What types of WEAPONS (SHASTRA…""",Mon Jun 28 10:02:26 +0000 2021,"Bengaluru, India",0.35,0.42500000000000004,Positive
"Wasn’t this happening already? They let me get AZ when I did a walk in, on the condition that I understood the risk…",Mon Jun 28 10:02:27 +0000 2021,"Melbourne, Australia",0.0,0.0,Neutral
🌟AstraZeneca walk-in vaccination clinics this week🌟,,,,,
➡️ Where? Ashton Gate,,,,,
➡️ When? Mon 28 June - Fri 2 July," 5pm -…""",Mon Jun 28 10:02:27 +0000 2021,Bristol,0.0,0.0
Ok this bit is good,Mon Jun 28 10:02:30 +0000 2021,Sydney,0.6,0.55,Positive
Covishield (Indian made AstraZeneca) is not approved for EU green pass vaccine!!,Mon Jun 28 10:02:32 +0000 2021,"Lisbon, Portugal",-0.3125,0.3,Negative
Breaking National cabinet has agreed on an indemnity scheme for GPs to give the AstraZeneca vaccine to Australians under the…,Mon Jun 28 10:02:33 +0000 2021,"Melbourne, Australia",0.0,0.0,Neutral
The messaging and lack of consistency on use of AstraZeneca vaccine is a complete mess. No wonder there is so much hesit…,Mon Jun 28 10:02:34 +0000 2021,Melbourne,0.04166666666666668,0.2583333333333333,Positive
Good announcement by Morrison government will create an indemnity scheme so GPs can give AstraZeneca vaccine to people u…,Mon Jun 28 10:02:37 +0000 2021,just an Albanian in melbourne,0.7,0.6000000000000001,Positive
Breaking National cabinet has agreed on an indemnity scheme for GPs to give the AstraZeneca vaccine to Australians under the…,Mon Jun 28 10:02:38 +0000 2021,Canberra,0.0,0.0,Neutral
"Morrison the advice doesn't preclude those under 60 getting AstraZeneca. if you wish to you, you can seek from GP.",,,,,
"Me UNDE…""",Mon Jun 28 10:02:39 +0000 2021,Sydney,0.0,0.0,Neutral
Can we please ask for some bloody consistency as to what the bleep is happening with AstraZeneca? I thought it was cancelled? 🙄,,,,,
"auspol""",Mon Jun 28 10:02:39 +0000 2021,37°47′20″S 144°57′55″E,-0.8,0.9,Negative
That’s one way to use up the AstraZeneca that many don’t want,Mon Jun 28 10:02:40 +0000 2021,"Adelaide, South Australia",0.5,0.5,Positive
Hey    .,,,,,
"Can someone please find out why the US FDA has not app…""",Mon Jun 28 10:02:43 +0000 2021,"Bundanoon, New South Wales",0.0,0.0,Neutral
"Get thee to a doctor for your indemnified Astra Zeneca jab, under 60s. You won't feel a thing. COVID19Aus",Mon Jun 28 10:02:43 +0000 2021,Melbourne,0.0,0.0,Neutral
The new book on the development of the Oxford/AstraZeneca vaccine co-authored by Prof. Sarah Gilbert (Senior Associ…,Mon Jun 28 10:02:44 +0000 2021,Oxford,0.13636363636363635,0.45454545454545453,Positive
Breaking National cabinet has agreed on an indemnity scheme for GPs to give the AstraZeneca vaccine to Australians under the…,Mon Jun 28 10:02:45 +0000 2021,"NSW, Australia",0.0,0.0,Neutral
I’m beginning to think that “It’s shit and will kill you” wasn’t the best way to sell the AstraZeneca vaccine…,Mon Jun 28 10:02:46 +0000 2021,"Brisbane, Queensland",0.4,0.55,Positive
I doubt health insurance will cover someone under 60 who takes Astra-Zeneca against ATAGI advice. You'd have to be an i…,Mon Jun 28 10:02:47 +0000 2021,Melbourne,0.0,0.0,Neutral
